accessionnr	aantal.aminozuren	uit	categorie	land	jaar	kenmerken
AAU11159	401	Avian	H9N2	Hong Kong	2003	Influenza A virus (A/pigeon/HongKong/WF53/03(H9N2))
AAU11160	560	Avian	H9N2	Hong Kong	2003	Influenza A virus (A/pheasant/HongKong/WF54/03(H9N2))
AAU11161	560	Avian	H9N2	Hong Kong	2003	Influenza A virus (A/guineafowl/HongKong/NT184/03(H9N2))
AAU11162	560	Avian	H9N2	Hong Kong	2003	Influenza A virus (A/chicken/HongKong/WF120/03(H9N2))
AAU11163	401	Avian	H9N2	Hong Kong	2003	Influenza A virus (A/chicken/HongKong/NT366/03(H9N2))
AAU11164	401	Avian	H9N2	Hong Kong	2003	Influenza A virus (A/chicken/HongKong/SSP418/03(H9N2))
AAU11165	400	Avian	H9N2	Hong Kong	2003	Influenza A virus (A/chicken/HongKong/YU427/03(H9N2))
AAU11522	329	Human	H3N2	China	2003	Influenza A virus (A/Zhejiang/92/03(H3N2))
AAU25838	357	Avian	H7N3	Canada	2004	Influenza A virus (A/chicken/British Columbia/CN12/2004(H7N3))
AAU25851	566	Swine	H1N1	Canada	2002	Influenza A virus (A/swine/Saskatchewan/18789/02(H1N1))
AAU25861	566	Swine	H3N3	Canada	2001	Influenza A virus (A/swine/Ontario/K01477/01(H3N3))
AAU25871	566	Swine	H3N3	Canada	2001	Influenza A virus (A/swine/Ontario/42729A/01(H3N3))
AAU25943	362	Avian	H7N3	Canada	2004	Influenza A virus (A/chicken/British Columbia/NS1337-1/2004(H7N3))
AAU25949	197	Human	H3N2	United Kingdom	2003	Influenza A virus (A/Northern Ireland/44233/2003(H3N2))
AAU33999	377	Avian	H7N3	Canada	2004	Influenza A virus (A/chicken/British Columbia/NS-1390-2/2004(H7N3))
AAU44367	377	Avian	H7N3	Canada	2004	Influenza A virus (A/chicken/British Columbia/NS-1479-1/2004(H7N3))
AAU50675	377	Avian	H7N3	Canada	2004	Influenza A virus (A/chicken/British Columbia/NS-2035-12/2004(H7N3))
AAU85295	378	Avian	H7N3	Canada	2004	Influenza A virus (A/chicken/British Columbia/NS-1319-2/04(H7N3))
AAV30213	560	Avian	H9N2	China	1998	Influenza A virus (A/Chicken/Shanghai/F/98(H9N2))
AAV30828	568	Swine	H5N1	China	2003	Influenza A virus (A/swine/Fujian/1/2003(H5N1))
AAV30836	568	Swine	H5N1	China	2001	Influenza A virus (A/swine/Fujian/F1/2001(H5N1))
AAV32636	568	Human	H5N1	Thailand	2004	Influenza A virus (A/Thailand/5(KK-494)/2004(H5N1))
AAV34704	568	Human	H5N1	Thailand	2004	Influenza A virus (A/Thailand/4(SP-528)/2004(H5N1))
AAV41002	563	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Ayutthaya/Thailand/CU-23/04(H5N1))
AAV41833	566	Avian	H6N2	China	2004	Influenza A virus (A/duck/Hainan/6/2004(H6N2))
AAV48546	568	Avian	H5N1	China	2004	Influenza A virus (A/chicken/Hubei/489/2004(H5N1))
AAV48778	550	Avian	H5N1	Thailand	2004	Influenza A virus (A/duck/Thailand/CU-2/2004 (H5N1))
AAV48780	559	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/CU-21/2004 (H5N1))
AAV52598	126	Avian	H9N2	South Korea	2000	Influenza A virus (A/chicken/Korea/SNU0028/00(H9N2))
AAV52599	126	Avian	H9N2	South Korea	2000	Influenza A virus (A/chicken/Korea/SNU0037/00(H9N2))
AAV52600	126	Avian	H9N2	South Korea	2000	Influenza A virus (A/chicken/Korea/SNU0057/00(H9N2))
AAV52601	126	Avian	H9N2	South Korea	2000	Influenza A virus (A/chicken/Korea/SNU0073/00(H9N2))
AAV52602	126	Avian	H9N2	South Korea	2000	Influenza A virus (A/chicken/Korea/SNU0091/00(H9N2))
AAV52603	126	Avian	H9N2	South Korea	2000	Influenza A virus (A/chicken/Korea/SNU0140/00(H9N2))
AAV52604	126	Avian	H9N2	South Korea	2000	Influenza A virus (A/chicken/Korea/SNU0146/00(H9N2))
AAV52605	126	Avian	H9N2	South Korea	2001	Influenza A virus (A/chicken/Korea/SNU1035C/01(H9N2))
AAV65826	568	Avian	H5N1	Thailand	2004	Influenza A virus (A/chicken/Thailand/CH-2/2004(H5N1))
AAV68014	368	Swine	H9N2	South Korea	2004	Influenza A virus (A/swine/Korea/S190/2004(H9N2))
AAV68022	560	Swine	H9N2	South Korea	2004	Influenza A virus (A/swine/Korea/S452/2004(H9N2))
AAV68030	560	Avian	H9N2	South Korea	2003	Influenza A virus (A/chicken/Korea/S1/2003(H9N2))
AAV68031	368	Avian	H9N2	South Korea	2004	Influenza A virus (A/chicken/Korea/S20/2004(H9N2))
AAV68032	368	Avian	H9N2	South Korea	2004	Influenza A virus (A/chicken/Korea/S22/2004(H9N2))
AAV73972	353	Avian	H5N1	Viet Nam	2004	Influenza A virus (A/chicken/Vietnam/DT171/2004(H5N1))
AAV73975	247	Avian	H5N1	Viet Nam	2004	Influenza A virus (A/duck/Viet Nam/TG-007A/2004(H5N1))
AAV73980	358	Human	H5N1	Viet Nam	2004	Influenza A virus (A/Viet Nam/DN-33/2004(H5N1))
AAV74187	216	Avian	H7N1	Hong Kong	1978	Influenza A virus (A/Hong Kong/301/78(H7N1))
AAV74400	260	Human	H5N1	Thailand	2004	Influenza A virus (A/Thailand/Kamphaengphet-Nontaburi/04(H5N1))
AAV80797	566	Avian	H3N2	USA	2003	Influenza A virus (A/turkey/North Carolina/12344/03(H3N2))
AAV80798	566	Avian	H3N2	USA	2003	Influenza A virus (A/turkey/Minnesota/764-2/03(H3N2))
AAV91149	568	Avian	H5N1	China	2004	Influenza A virus (A/chick/Macheng/2004(H5N1))
AAV91212	565	Avian	H13N8	Netherlands	2000	Influenza A virus (A/black-headed gull/Netherlands/1/00(H13N8))
AAV91213	565	Avian	H13N6	Sweden	1999	Influenza A virus (A/black-headed gull/Sweden/1/1999(H13N6))
AAV91214	564	Avian	H16N3	Sweden	1999	Influenza A virus (A/black-headed gull/Sweden/2/99(H16N3))
AAV91215	564	Avian	H16N3	Sweden	1999	Influenza A virus (A/black-headed gull/Sweden/3/99(H16N3))
AAV91216	564	Avian	H16N3	Sweden	1999	Influenza A virus (A/black-headed gull/Sweden/4/99(H16N3))
AAV91217	566	Avian	H16N3	Sweden	1999	Influenza A virus (A/black-headed gull/Sweden/5/99(H16N3))
AAV91218	566	Avian	H6N5	Netherlands	1999	Influenza A virus (A/mallard/Netherlands/16/99(H6N5))
AAV91219	562	Avian	H2N2	Netherlands	1999	Influenza A virus (A/mallard/Netherlands/13/99(H2N2))
AAV91220	564	Avian	H5N2	Netherlands	1999	Influenza A virus (A/mallard/Netherlands/3/1999(H5N2))
AAV91221	565	Avian	H11N2	Netherlands	1999	Influenza A virus (A/mallard/Netherlands/7/99(H11N2))
AAV97601	568	Avian	H5N1	Hong Kong	2002	Influenza A virus (A/duck/Hong Kong/821/2002(H5N1))
AAV97602	568	Avian	H5N1	Hong Kong	2003	Influenza A virus (A/egret/Hong Kong/757.2/2003(H5N1))
AAV97603	567	Avian	H5N1	South Korea	2003	Influenza A virus (A/chicken/Korea/ES/03(H5N1))
AAV97604	567	Avian	H5N1	South Korea	2003	Influenza A virus (A/duck/Korea/ESD1/03(H5N1))
AAV97886	568	Tiger	H5N1	Thailand	2004	Influenza A virus (A/Tiger/Thailand/VSMU-1-SPB/2004(H5N1))
AAV98693	552	Avian	H7N2	USA	2004	Influenza A virus (A/chicken/DE/HOBO/2004(H7N2))
AAV98694	552	Avian	H7N2	USA	2004	Influenza A virus (A/chicken/DE/VIVA/2004(H7N2))
AAV98695	552	Avian	H7N2	USA	2004	Influenza A virus (A/chicken/MD/MINH MA/2004(H7N2))
AAW19638	568	Avian	H5N1	China	2004	Influenza A virus (A/blackbird/Hunan/1/2004(H5N1))
AAW19640	568	Avian	H5N1	China	2004	Influenza A virus (A/tree sparrow/Henan/1/2004(H5N1))
AAW19642	568	Avian	H5N1	China	2004	Influenza A virus (A/tree sparrow/Henan/2/2004(H5N1))
AAW19644	568	Avian	H5N1	China	2004	Influenza A virus (A/tree sparrow/Henan/3/2004(H5N1))
AAW19646	568	Avian	H5N1	China	2004	Influenza A virus (A/tree sparrow/Henan/4/2004(H5N1))
AAW22156	262	Swine	H1N2	Germany	2000	Influenza A virus (A/swine/IDT/Bakum1832/2000(H1N2))
AAW24444	292	Human	H3N2	India	2003	Influenza A virus (A/Ind/M/URI/1/2003(H3N2))
AAW24445	292	Human	H3N2	India	2003	Influenza A virus (A/Ind/M/Enc/1/2003(H3N2))
AAW24446	292	Human	H3N2	India	2003	Influenza A virus (A/Ind/M/Enc/2/2003(H3N2))
AAW24447	292	Human	H3N2	India	2003	Influenza A virus (A/Ind/M/URI/2/2003(H3N2))
AAW24448	292	Human	H3N2	India	2003	Influenza A virus (A/Ind/P/URI/3/2003(H3N2))
AAW24449	292	Human	H3N2	India	2003	Influenza A virus (A/Ind/P/URI/2/2003(H3N2))
AAW24450	292	Human	H3N2	India	2003	Influenza A virus (A/Ind/P/URI/4/2003(H3N2))
AAW24451	292	Human	H3N2	India	2003	Influenza A virus (A/Ind/P/URI/1/2003(H3N2))
AAW29075	560	Avian	H9N2	Israel	2000	Influenza A virus (A/turkey/Neve Ilan/90710/2000(H9N2))
AAW29076	560	Avian	H9N2	Israel	2002	Influenza A virus (A/turkey/Givat Haim/965/2002(H9N2))
AAW29077	560	Avian	H9N2	Israel	2004	Influenza A virus (A/turkey/Beit HaLevi/1562/04 (H9N2))
AAW29078	560	Avian	H9N2	Israel	2001	Influenza A virus (A/chicken/Tel Adashim/786/2001(H9N2))
AAW29079	560	Avian	H9N2	Israel	2003	Influenza A virus (A/chicken/Talmei Elazar/1304/03(H9N2))
AAW29080	560	Avian	H9N2	Israel	2003	Influenza A virus (A/ostrich/Eshkol/1436/03(H9N2))
AAW30657	549	Tiger	H5N1	Thailand	2004	Influenza A virus (A/tiger/Thailand/CU-T3/2004(H5N1))
AAW34374	566	Swine	H3N2	China	2003	Influenza A virus (A/swine/Guangdong/1/2003(H3N2))
AAW34375	566	Swine	H3N2	China	2003	Influenza A virus (A/swine/Guangdong/3/2003(H3N2))
AAW34376	566	Swine	H3N2	China	2003	Influenza A virus (A/swine/Guangdong/4/2003(H3N2))
AAW34377	566	Swine	H3N2	China	2003	Influenza A virus (A/swine/Guangdong/5/2003(H3N2))
AAW34378	566	Swine	H3N2	China	2004	Influenza A virus (A/swine/Guangdong/6/2004(H3N2))
AAW50825	162	Avian	H9NX	China	2000	Influenza A virus (A/chicken/Jiangsu/61/2000(H9Nx))
AAW50826	162	Avian	H9NX	China	2000	Influenza A virus (A/chicken/Jiangsu/59/2000(H9Nx))
AAW50827	108	Human	H1NX	China	2000	Influenza A virus (A/Nanjing/06/2000(H1Nx))
AAW50828	108	Human	H1NX	China	2000	Influenza A virus (A/Nanjing/08/2000(H1Nx))
AAW50829	108	Human	H1NX	China	2001	Influenza A virus (A/Xuzhou/02/2001(H1Nx))
AAW50830	108	Human	H1NX	China	2001	Influenza A virus (A/Xuzhou/06/2001(H1Nx))
AAW50831	108	Human	H1NX	China	2001	Influenza A virus (A/Xuzhou/36/2001(H1Nx))
AAW50832	108	Human	H1NX	China	2001	Influenza A virus (A/Nanjing/Children3/2001(H1Nx))
AAW50833	108	Human	H1NX	China	2001	Influenza A virus (A/Nanjing/Children4/2001(H1Nx))
AAW50834	108	Human	H1NX	China	2001	Influenza A virus (A/Wuxi/57/2001(H1Nx))
AAW50835	108	Human	H1NX	China	2001	Influenza A virus (A/Wuxi/44/2001(H1Nx))
AAW50836	108	Human	H1NX	China	2002	Influenza A virus (A/Changzhou/112/2002(H1Nx))
AAW50837	108	Human	H1NX	China	2002	Influenza A virus (A/Changzhou/63/2002(H1Nx))
AAW50838	170	Human	H3N2	China	2004	Influenza A virus (A/Jiangsu/131/2004(H3N2))
AAW50839	170	Human	H3N2	China	2004	Influenza A virus (A/Jiangsu/91/2004(H3N2))
AAW50840	170	Human	H3N2	China	2004	Influenza A virus (A/Jiangsu/38/2004(H3N2))
AAW50841	170	Human	H3N2	China	2004	Influenza A virus (A/Jiangsu/76/2004(H3N2))
AAW56635	277	Swine	H1N2	Germany	2000	Influenza A virus (A/swine/Bakum/1832/2000(H1N2))
AAW59390	567	Avian	H5N1	China	2004	Influenza A virus (A/chicken/Guangdong/191/04(H5N1))
AAW59398	567	Avian	H5N1	China	2004	Influenza A virus (A/chicken/Guangdong/178/04(H5N1))
AAW59408	567	Avian	H5N1	China	2004	Influenza A virus (A/duck/Guangdong/173/04(H5N1))
AAW59548	289	Avian	H5N1	Viet Nam	2004	Influenza A virus (A/chicken/Viet Nam/HCM-022/2004(H5N1))
AAW59550	355	Avian	H5N1	Viet Nam	2004	Influenza A virus (A/chicken/Viet Nam/DN-045/2004(H5N1))
AAW59552	360	Avian	H5N1	Viet Nam	2004	Influenza A virus (A/chicken/Viet Nam/VL-008/2004(H5N1))
AAW59554	216	Avian	H5N1	Viet Nam	2004	Influenza A virus (A/chicken/Viet Nam/AG-010/2004(H5N1))
AAW59556	211	Avian	H5N1	Viet Nam	2004	Influenza A virus (A/chicken/Viet Nam/DT-015/2004(H5N1))
AAW59558	222	Avian	H5N1	Viet Nam	2004	Influenza A virus (A/chicken/Viet Nam/CT-018/2004(H5N1))
AAW59559	232	Avian	H5N1	Viet Nam	2004	Influenza A virus (A/chicken/Viet Nam/LA-024/2004(H5N1))
AAW65986	88	Human	H3N2	China	2003	Influenza A virus (A/Jiangsu/Children67/2003(H3N2))
AAW65987	88	Human	H3N2	China	2004	Influenza A virus (A/Jiangsu/A26/2004(H3N2))
AAW65988	88	Human	H3N2	China	2004	Influenza A virus (A/Jiangsu/A29/2004(H3N2))
AAW65989	88	Human	H3N2	China	2004	Influenza A virus (A/Jiangsu/18/2004(H3N2))
AAW65990	88	Human	H3N2	China	2004	Influenza A virus (A/Jiangsu/A20/2004(H3N2))
AAW66002	568	Tiger	H5N1	Thailand	2004	Influenza A virus (A/tiger/Thailand/CU-T7/2004(H5N1))
AAW72226	568	Avian	H5N1	China	2004	Influenza A virus (A/duck/Shandong/093/2004(H5N1))
AAW78038	399	Avian	H9N2	South Korea	2003	Influenza A virus (A/silky chicken/Korea/S3/03(H9N2))
AAW78039	560	Avian	H9N2	South Korea	2003	Influenza A virus (A/chicken/Korea/S4/2003(H9N2))
AAW78040	399	Avian	H9N2	South Korea	2003	Influenza A virus (A/chicken/Korea/S5/03(H9N2))
AAW78041	400	Avian	H9N2	South Korea	2003	Influenza A virus (A/chicken/Korea/S12/03(H9N2))
AAW78042	401	Avian	H9N2	South Korea	2003	Influenza A virus (A/duck/Korea/S13/2003(H9N2))
AAW78043	399	Avian	H9N2	South Korea	2003	Influenza A virus (A/dove/Korea/S14/03(H9N2))
AAW78044	399	Avian	H9N2	South Korea	2003	Influenza A virus (A/chicken/Korea/S15/03(H9N2))
AAW78045	399	Avian	H9N2	South Korea	2003	Influenza A virus (A/chicken/Korea/S16/03(H9N2))
AAW78046	560	Avian	H9N2	South Korea	2003	Influenza A virus (A/chicken/Korea/S18/03(H9N2))
AAW78047	566	Avian	H3N2	South Korea	2003	Influenza A virus (A/chicken/Korea/S6/03(H3N2))
AAW78048	470	Avian	H3N2	South Korea	2003	Influenza A virus (A/duck/Korea/S7/03(H3N2))
AAW78049	470	Avian	H3N2	South Korea	2003	Influenza A virus (A/duck/Korea/S8/03(H3N2))
AAW78050	470	Avian	H3N2	South Korea	2003	Influenza A virus (A/duck/Korea/S9/03(H3N2))
AAW78051	470	Avian	H3N2	South Korea	2003	Influenza A virus (A/duck/Korea/S10/03(H3N2))
AAW78052	471	Avian	H3N2	South Korea	2003	Influenza A virus (A/dove/Korea/S11/2003(H3N2))
AAW78053	566	Avian	H6N1	South Korea	2003	Influenza A virus (A/duck/Korea/S17/03(H6N1))
AAW80717	568	Human	H5N1	Viet Nam	2004	Influenza A virus (A/Viet Nam/1203/2004(H5N1))
AAW80718	568	Avian	H5N1	Viet Nam	2004	Influenza A virus (A/chicken/Vietnam/C58/04(H5N1))
AAW80719	568	Avian	H5N1	Viet Nam	2004	Influenza A virus (A/quail/Vietnam/36/04(H5N1))
AAX07773	564	Avian	H6N2	Sweden	2000	Influenza A virus (A/guillemot/Sweden/3/00(H6N2))
AAX11455	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/61A/2003(H3N2))
AAX11465	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/16/2003(H3N2))
AAX11475	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/28/2003(H3N2))
AAX11485	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/30/2003(H3N2))
AAX11495	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/32/2003(H3N2))
AAX11505	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/34/2003(H3N2))
AAX11515	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/36/2003(H3N2))
AAX11525	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/41/2003(H3N2))
AAX11535	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/42/2003(H3N2))
AAX11545	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/43/2003(H3N2))
AAX11555	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/44/2003(H3N2))
AAX11565	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/45/2003(H3N2))
AAX11575	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/47/2003(H3N2))
AAX11585	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/48/2003(H3N2))
AAX11595	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/50/2003(H3N2))
AAX11605	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/54/2003(H3N2))
AAX11615	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/60A/2003(H3N2))
AAX11625	566	Human	H3N2	USA	2001	Influenza A virus (A/New York/83/2001(H3N2))
AAX11635	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/110/2002(H3N2))
AAX12731	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/12/2003(H3N2))
AAX12741	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/23/2003(H3N2))
AAX12751	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/40/2003(H3N2))
AAX12761	566	Human	H3N2	USA	2001	Influenza A virus (A/New York/84/2001(H3N2))
AAX12771	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/91/2002(H3N2))
AAX12781	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/95/2002(H3N2))
AAX12791	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/100/2002(H3N2))
AAX12801	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/113/2002(H3N2))
AAX12811	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/121/2002(H3N2))
AAX14851	157	Equine	H3N8	Sweden	2001	Influenza A virus (A/equi 2/Gotland/01(H3N8))
AAX23575	565	Equine	H3N8	USA	2002	Influenza A virus (A/equine/Kentucky/5/2002(H3N8))
AAX32895	230	Avian	H9N2	China	2004	Influenza A virus (A/goose/Heilongjiang/LJH-1/04(H9N2))
AAX32896	230	Avian	H9N2	China	2004	Influenza A virus (A/goose/Heilongjiang/LJH-2/04(H9N2))
AAX34061	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/19/2003(H3N2))
AAX35821	566	Human	H3N2	USA	2004	Influenza A virus (A/New York/52/2004(H3N2))
AAX35831	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/53/2003(H3N2))
AAX35841	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/86/2002(H3N2))
AAX35851	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/92/2002(H3N2))
AAX35861	566	Human	H3N2	USA	2001	Influenza A virus (A/New York/131/2001(H3N2))
AAX35871	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/135/2002(H3N2))
AAX38237	566	Human	H3N2	USA	2001	Influenza A virus (A/New York/82/2001(H3N2))
AAX47288	564	Avian	H5N2	USA	2004	Influenza A virus (A/chicken/TX/298313/04(H5N2))
AAX47515	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/129/2002(H3N2))
AAX47525	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/96/2002(H3N2))
AAX47535	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/133/2002(H3N2))
AAX47732	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1667/2004(H3N2))
AAX47733	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1648/2004(H3N2))
AAX47734	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1664/2004(H3N2))
AAX47735	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1660/2004(H3N2))
AAX47736	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1650/2004(H3N2))
AAX47737	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1694/2004(H3N2))
AAX47738	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1659/2004(H3N2))
AAX47739	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1732/2004(H3N2))
AAX47740	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1729/2004(H3N2))
AAX47741	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1727/2004(H3N2))
AAX47742	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1723/2004(H3N2))
AAX47743	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1717/2004(H3N2))
AAX47744	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1713/2004(H3N2))
AAX47745	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1711/2004(H3N2))
AAX47746	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1707/2004(H3N2))
AAX47747	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1703/2004(H3N2))
AAX47748	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1702/2004(H3N2))
AAX47749	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1697/2004(H3N2))
AAX47750	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1687/2004(H3N2))
AAX47751	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1685/2004(H3N2))
AAX47752	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1680/2004(H3N2))
AAX47753	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1679/2004(H3N2))
AAX47754	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1678/2004(H3N2))
AAX47755	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1675/2004(H3N2))
AAX47756	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1672/2004(H3N2))
AAX47757	333	Human	H3N2	Nepal	2004	Influenza A virus (A/Nepal/1670/2004(H3N2))
AAX49559	522	Human	H3N2	USA	2004	Influenza A virus (A/Charlottesville/03/2004(H3N2))
AAX49562	365	Human	H3N2	USA	2002	Influenza A virus (A/Texas/131/2002(H3N2))
AAX51299	560	Avian	H9N	China	2002	Influenza A virus (A/chicken/Shandong/2/02(H9N?))
AAX53504	568	Avian	H5N1	China	2004	Influenza A virus (A/chicken/Henan/01/2004(H5N1))
AAX53505	568	Avian	H5N1	China	2004	Influenza A virus (A/chicken/Henan/210/2004(H5N1))
AAX53506	568	Avian	H5N1	China	2004	Influenza A virus (A/chicken/Henan/12/2004(H5N1))
AAX53507	568	Avian	H5N1	China	2004	Influenza A virus (A/chicken/Henan/13/2004(H5N1))
AAX53508	568	Avian	H5N1	China	2004	Influenza A virus (A/chicken/Henan/16/2004(H5N1))
AAX53509	568	Avian	H5N1	China	2004	Influenza A virus (A/wild duck/Guangdong/314/2004(H5N1))
AAX53510	568	Avian	H5N1	China	2004	Influenza A virus (A/swan/Guangxi/307/2004(H5N1))
AAX56380	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/15/2003(H3N2))
AAX56390	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/21/2003(H3N2))
AAX56400	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/22/2003(H3N2))
AAX56410	566	Human	H3N2	USA	2004	Influenza A virus (A/New York/31/2004(H3N2))
AAX56420	566	Human	H3N2	USA	2004	Influenza A virus (A/New York/33/2004(H3N2))
AAX56430	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/49/2003(H3N2))
AAX56440	566	Human	H3N2	USA	2001	Influenza A virus (A/New York/85/2001(H3N2))
AAX56450	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/87/2002(H3N2))
AAX56460	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/89/2002(H3N2))
AAX56470	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/90/2002(H3N2))
AAX56480	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/103/2002(H3N2))
AAX56490	566	Human	H3N2	USA	2001	Influenza A virus (A/New York/124/2001(H3N2))
AAX56500	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/128/2002(H3N2))
AAX56510	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/132/2002(H3N2))
AAX56520	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/134/2002(H3N2))
AAX56530	566	Human	H1N1	USA	2000	Influenza A virus (A/New York/146/2000(H1N1))
AAX56540	566	Human	H3N2	USA	1999	Influenza A virus (A/New York/149/1999(H3N2))
AAX56550	566	Human	H3N2	USA	2000	Influenza A virus (A/New York/150/2000(H3N2))
AAX56560	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/2/2003(H3N2))
AAX56570	566	Human	H3N2	USA	2001	Influenza A virus (A/New York/71/2001(H3N2))
AAX56580	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/106/2002(H3N2))
AAX56590	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/108/2002(H3N2))
AAX56600	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/4/2003(H3N2))
AAX57644	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/11/2003(H3N2))
AAX57654	566	Human	H3N2	USA	2003	Influenza A virus (A/New York/29/2003(H3N2))
AAX57664	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/109/2002(H3N2))
AAX57674	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/114/2002(H3N2))
AAX57684	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/115/2002(H3N2))
AAX57694	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/116/2002(H3N2))
AAX57704	566	Human	H3N2	USA	2004	Influenza A virus (A/New York/69/2004(H3N2))
AAX57714	566	Human	H3N2	USA	2001	Influenza A virus (A/New York/80/2001(H3N2))
AAX57733	566	Human	H3N2	USA	2001	Influenza A virus (A/New York/127/2001(H3N2))
AAX57734	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/130/2002(H3N2))
AAX57744	566	Human	H3N2	USA	1999	Influenza A virus (A/New York/147/1999(H3N2))
AAX57754	566	Human	H3N2	USA	1999	Influenza A virus (A/New York/151/1999(H3N2))
AAX57764	566	Human	H3N2	USA	2000	Influenza A virus (A/New York/154/2000(H3N2))
AAX57774	566	Human	H3N2	USA	1999	Influenza A virus (A/New York/161/1999(H3N2))
AAX57784	566	Human	H3N2	USA	2002	Influenza A virus (A/New York/120/2002(H3N2))
AAX57794	566	Human	H3N2	USA	1999	Influenza A virus (A/New York/143/1999(H3N2))
AAX57804	566	Human	H3N2	USA	1999	Influenza A virus (A/New York/163/1999(H3N2))
